sim_method,dims,nthreads,time
similarity_shared,256,32,0.8221784279994608
similarity_shared,512,32,0.010609621000185143
similarity_shared,1024,32,0.03788342099960573
similarity_shared,2048,32,0.13521045499965112
similarity_global,256,32,0.1632120889998987
similarity_global,512,32,0.012950269000612025
similarity_global,1024,32,0.076820898000733
similarity_global,2048,32,0.5636909310005649
similarity_sequential,256,32,0.6102936639999825
similarity_sequential,512,32,2.7097884589993555
similarity_sequential,1024,32,11.722590940999908
similarity_sequential,2048,32,53.07520108299923
