implementation,N_points,N_threads,A,B,time
s,100000,14,10.00000000,100.00000000,0.00574382
s,100000,14,100.00000000,1000.00000000,0.00574060
s,100000,15,0.00001000,0.00010000,0.00965522
s,100000,15,0.00010000,0.00100000,0.00813893
s,100000,15,0.00100000,0.01000000,0.00780090
s,100000,15,0.01000000,0.10000000,0.00758354
s,100000,15,0.10000000,1.00000000,0.00723983
s,100000,15,1.00000000,10.00000000,0.00589265
s,100000,15,10.00000000,100.00000000,0.00574221
s,100000,15,100.00000000,1000.00000000,0.00574032
s,100000,16,0.00001000,0.00010000,0.00967558
s,100000,16,0.00010000,0.00100000,0.00812650
s,100000,16,0.00100000,0.01000000,0.00781619
s,100000,16,0.01000000,0.10000000,0.00772883
s,100000,16,0.10000000,1.00000000,0.00754472
s,100000,16,1.00000000,10.00000000,0.00644174
s,100000,16,10.00000000,100.00000000,0.00579635
s,100000,16,100.00000000,1000.00000000,0.00580236
s,100000,17,0.00001000,0.00010000,0.00971391
s,100000,17,0.00010000,0.00100000,0.00817577
s,100000,17,0.00100000,0.01000000,0.00792134
s,100000,17,0.01000000,0.10000000,0.00764639
s,100000,17,0.10000000,1.00000000,0.00734468
s,100000,17,1.00000000,10.00000000,0.00591148
s,100000,17,10.00000000,100.00000000,0.00576769
s,100000,17,100.00000000,1000.00000000,0.00576167
s,100000,18,0.00001000,0.00010000,0.00967466
s,100000,18,0.00010000,0.00100000,0.00813722
s,100000,18,0.00100000,0.01000000,0.00780747
s,100000,18,0.01000000,0.10000000,0.00760714
s,100000,18,0.10000000,1.00000000,0.00735443
s,100000,18,1.00000000,10.00000000,0.00611201
s,100000,18,10.00000000,100.00000000,0.00578235
s,100000,18,100.00000000,1000.00000000,0.00581544
s,100000,19,0.00001000,0.00010000,0.00970632
s,100000,19,0.00010000,0.00100000,0.00812897
s,100000,19,0.00100000,0.01000000,0.00783399
s,100000,19,0.01000000,0.10000000,0.00760433
s,100000,19,0.10000000,1.00000000,0.00726043
s,100000,19,1.00000000,10.00000000,0.00598763
s,100000,19,10.00000000,100.00000000,0.00579807
s,100000,19,100.00000000,1000.00000000,0.00575004
s,100000,20,0.00001000,0.00010000,0.00969482
s,100000,20,0.00010000,0.00100000,0.00814784
s,100000,20,0.00100000,0.01000000,0.00783534
s,100000,20,0.01000000,0.10000000,0.00761533
s,100000,20,0.10000000,1.00000000,0.00726868
s,100000,20,1.00000000,10.00000000,0.00591214
s,100000,20,10.00000000,100.00000000,0.00576883
s,100000,20,100.00000000,1000.00000000,0.00583350
s,1000000,1,0.00001000,0.00010000,0.09488842
s,1000000,1,0.00010000,0.00100000,0.07788726
s,1000000,1,0.00100000,0.01000000,0.07636127
s,1000000,1,0.01000000,0.10000000,0.07523078
s,1000000,1,0.10000000,1.00000000,0.07245616
s,1000000,1,1.00000000,10.00000000,0.05968647
s,1000000,1,10.00000000,100.00000000,0.05727510
s,1000000,1,100.00000000,1000.00000000,0.05699824
s,1000000,2,0.00001000,0.00010000,0.09491127
s,1000000,2,0.00010000,0.00100000,0.07778302
s,1000000,2,0.00100000,0.01000000,0.07643215
s,1000000,2,0.01000000,0.10000000,0.07514593
s,1000000,2,0.10000000,1.00000000,0.07220714
s,1000000,2,1.00000000,10.00000000,0.05871555
s,1000000,2,10.00000000,100.00000000,0.05730004
s,1000000,2,100.00000000,1000.00000000,0.05678254
s,1000000,3,0.00001000,0.00010000,0.09489872
s,1000000,3,0.00010000,0.00100000,0.07768359
s,1000000,3,0.00100000,0.01000000,0.07646576
s,1000000,3,0.01000000,0.10000000,0.07516223
s,1000000,3,0.10000000,1.00000000,0.07221032
s,1000000,3,1.00000000,10.00000000,0.05883289
s,1000000,3,10.00000000,100.00000000,0.05727503
s,1000000,3,100.00000000,1000.00000000,0.05679252
s,1000000,4,0.00001000,0.00010000,0.09492806
s,1000000,4,0.00010000,0.00100000,0.07773052
s,1000000,4,0.00100000,0.01000000,0.07719322
s,1000000,4,0.01000000,0.10000000,0.07545406
s,1000000,4,0.10000000,1.00000000,0.07221395
s,1000000,4,1.00000000,10.00000000,0.05873889
s,1000000,4,10.00000000,100.00000000,0.05733277
s,1000000,4,100.00000000,1000.00000000,0.05681095
s,1000000,5,0.00001000,0.00010000,0.09494558
s,1000000,5,0.00010000,0.00100000,0.07777938
s,1000000,5,0.00100000,0.01000000,0.07630605
s,1000000,5,0.01000000,0.10000000,0.07516652
s,1000000,5,0.10000000,1.00000000,0.07219596
s,1000000,5,1.00000000,10.00000000,0.05867450
s,1000000,5,10.00000000,100.00000000,0.05737303
s,1000000,5,100.00000000,1000.00000000,0.05678614
s,1000000,6,0.00001000,0.00010000,0.09486330
s,1000000,6,0.00010000,0.00100000,0.07773304
s,1000000,6,0.00100000,0.01000000,0.07629213
s,1000000,6,0.01000000,0.10000000,0.07516609
s,1000000,6,0.10000000,1.00000000,0.07228210
s,1000000,6,1.00000000,10.00000000,0.05866390
s,1000000,6,10.00000000,100.00000000,0.05728817
s,1000000,6,100.00000000,1000.00000000,0.05680135
s,1000000,7,0.00001000,0.00010000,0.09486597
s,1000000,7,0.00010000,0.00100000,0.07779306
s,1000000,7,0.00100000,0.01000000,0.07632175
s,1000000,7,0.01000000,0.10000000,0.07518371
s,1000000,7,0.10000000,1.00000000,0.07223091
s,1000000,7,1.00000000,10.00000000,0.05871693
s,1000000,7,10.00000000,100.00000000,0.05735247
s,1000000,7,100.00000000,1000.00000000,0.05694505
s,1000000,8,0.00001000,0.00010000,0.09492572
s,1000000,8,0.00010000,0.00100000,0.07773193
s,1000000,8,0.00100000,0.01000000,0.07638835
s,1000000,8,0.01000000,0.10000000,0.07523170
s,1000000,8,0.10000000,1.00000000,0.07232638
s,1000000,8,1.00000000,10.00000000,0.05878328
s,1000000,8,10.00000000,100.00000000,0.05729434
s,1000000,8,100.00000000,1000.00000000,0.05686865
s,1000000,9,0.00001000,0.00010000,0.09488412
s,1000000,9,0.00010000,0.00100000,0.07771483
s,1000000,9,0.00100000,0.01000000,0.07642990
s,1000000,9,0.01000000,0.10000000,0.07515161
s,1000000,9,0.10000000,1.00000000,0.07218587
s,1000000,9,1.00000000,10.00000000,0.05866400
s,1000000,9,10.00000000,100.00000000,0.05726290
s,1000000,9,100.00000000,1000.00000000,0.05674455
s,1000000,10,0.00001000,0.00010000,0.09482691
s,1000000,10,0.00010000,0.00100000,0.07765766
s,1000000,10,0.00100000,0.01000000,0.07627961
s,1000000,10,0.01000000,0.10000000,0.07511221
s,1000000,10,0.10000000,1.00000000,0.07217206
s,1000000,10,1.00000000,10.00000000,0.05864111
s,1000000,10,10.00000000,100.00000000,0.05728058
s,1000000,10,100.00000000,1000.00000000,0.05687050
s,1000000,11,0.00001000,0.00010000,0.09492003
s,1000000,11,0.00010000,0.00100000,0.07772566
s,1000000,11,0.00100000,0.01000000,0.07650843
s,1000000,11,0.01000000,0.10000000,0.07542111
s,1000000,11,0.10000000,1.00000000,0.07217487
s,1000000,11,1.00000000,10.00000000,0.05868769
s,1000000,11,10.00000000,100.00000000,0.05725744
s,1000000,11,100.00000000,1000.00000000,0.05677799
s,1000000,12,0.00001000,0.00010000,0.09491516
s,1000000,12,0.00010000,0.00100000,0.07816496
s,1000000,12,0.00100000,0.01000000,0.07637148
s,1000000,12,0.01000000,0.10000000,0.07528483
s,1000000,12,0.10000000,1.00000000,0.07223212
s,1000000,12,1.00000000,10.00000000,0.05872244
s,1000000,12,10.00000000,100.00000000,0.05790616
s,1000000,12,100.00000000,1000.00000000,0.05677751
s,1000000,13,0.00001000,0.00010000,0.09483472
s,1000000,13,0.00010000,0.00100000,0.07773290
s,1000000,13,0.00100000,0.01000000,0.07628071
s,1000000,13,0.01000000,0.10000000,0.07515397
s,1000000,13,0.10000000,1.00000000,0.07219273
s,1000000,13,1.00000000,10.00000000,0.05864766
s,1000000,13,10.00000000,100.00000000,0.05728105
s,1000000,13,100.00000000,1000.00000000,0.05690549
s,1000000,14,0.00001000,0.00010000,0.09481495
s,1000000,14,0.00010000,0.00100000,0.07772911
s,1000000,14,0.00100000,0.01000000,0.07628482
s,1000000,14,0.01000000,0.10000000,0.07511206
s,1000000,14,0.10000000,1.00000000,0.07235926
s,1000000,14,1.00000000,10.00000000,0.05865611
s,1000000,14,10.00000000,100.00000000,0.05726287
s,1000000,14,100.00000000,1000.00000000,0.05686218
s,1000000,15,0.00001000,0.00010000,0.09490915
s,1000000,15,0.00010000,0.00100000,0.07767770
s,1000000,15,0.00100000,0.01000000,0.07635145
s,1000000,15,0.01000000,0.10000000,0.07514231
s,1000000,15,0.10000000,1.00000000,0.07232243
s,1000000,15,1.00000000,10.00000000,0.05876327
s,1000000,15,10.00000000,100.00000000,0.05726419
s,1000000,15,100.00000000,1000.00000000,0.05677112
s,1000000,16,0.00001000,0.00010000,0.09488269
s,1000000,16,0.00010000,0.00100000,0.07768536
s,1000000,16,0.00100000,0.01000000,0.07634698
s,1000000,16,0.01000000,0.10000000,0.07516243
s,1000000,16,0.10000000,1.00000000,0.07219604
s,1000000,16,1.00000000,10.00000000,0.05886302
s,1000000,16,10.00000000,100.00000000,0.05730814
s,1000000,16,100.00000000,1000.00000000,0.05677541
s,1000000,17,0.00001000,0.00010000,0.09491149
s,1000000,17,0.00010000,0.00100000,0.07769051
s,1000000,17,0.00100000,0.01000000,0.07639354
s,1000000,17,0.01000000,0.10000000,0.07513261
s,1000000,17,0.10000000,1.00000000,0.07220045
s,1000000,17,1.00000000,10.00000000,0.05886422
s,1000000,17,10.00000000,100.00000000,0.05736109
s,1000000,17,100.00000000,1000.00000000,0.05684412
s,1000000,18,0.00001000,0.00010000,0.09492622
s,1000000,18,0.00010000,0.00100000,0.07771116
s,1000000,18,0.00100000,0.01000000,0.07677728
s,1000000,18,0.01000000,0.10000000,0.07610872
s,1000000,18,0.10000000,1.00000000,0.07262438
s,1000000,18,1.00000000,10.00000000,0.05895694
s,1000000,18,10.00000000,100.00000000,0.05729868
s,1000000,18,100.00000000,1000.00000000,0.05678781
s,1000000,19,0.00001000,0.00010000,0.09491217
s,1000000,19,0.00010000,0.00100000,0.07875085
s,1000000,19,0.00100000,0.01000000,0.07629231
s,1000000,19,0.01000000,0.10000000,0.07513328
s,1000000,19,0.10000000,1.00000000,0.07218863
s,1000000,19,1.00000000,10.00000000,0.05864387
s,1000000,19,10.00000000,100.00000000,0.05731106
s,1000000,19,100.00000000,1000.00000000,0.05678476
s,1000000,20,0.00001000,0.00010000,0.09485232
s,1000000,20,0.00010000,0.00100000,0.07773523
s,1000000,20,0.00100000,0.01000000,0.07627966
s,1000000,20,0.01000000,0.10000000,0.07514330
s,1000000,20,0.10000000,1.00000000,0.07224247
s,1000000,20,1.00000000,10.00000000,0.05864853
s,1000000,20,10.00000000,100.00000000,0.05725412
s,1000000,20,100.00000000,1000.00000000,0.05680397
s,10000000,1,0.00001000,0.00010000,0.92856784
s,10000000,1,0.00010000,0.00100000,0.76645279
s,10000000,1,0.00100000,0.01000000,0.75556467
s,10000000,1,0.01000000,0.10000000,0.75223887
s,10000000,1,0.10000000,1.00000000,0.72218351
s,10000000,1,1.00000000,10.00000000,0.58756903
s,10000000,1,10.00000000,100.00000000,0.57206614
s,10000000,1,100.00000000,1000.00000000,0.56298131
s,10000000,2,0.00001000,0.00010000,0.92906236
s,10000000,2,0.00010000,0.00100000,0.76865557
s,10000000,2,0.00100000,0.01000000,0.75573400
s,10000000,2,0.01000000,0.10000000,0.75271243
s,10000000,2,0.10000000,1.00000000,0.72282640
s,10000000,2,1.00000000,10.00000000,0.58754763
